School Yr,Location,District ID,District Name,School ID,School Name,School Type,Grade Band,Virtual Status,Governance,ADM,Total Expenditures,Per Pupil Exp,Fed Per Pupil Exp,State/Local Per Pupil Exp,Direct Classroom Expenditures,Classroom Support,Building Support,Central Support,Other Expenditures,ESD Direct Support,School Expenditures,District Expenditures,General Fund,Special State and Local Revenue Funds,Special Federal Revenue Funds,Special Revenue Funds,Trust and Agency Funds,Internal Service Funds,Enterprise Funds,ESD General Fund,ESD Special Revenue Funds,ESD Internal
23-24,Baker SD 5J-Baker Middle School,1894,Baker SD 5J,1,Baker Middle School,Regular,Junior High/Middle School,Supplemental Virtual,Public,233.29284327323163,3859459.8190771006,16543.412840817055,482.6842586568657,16060.728582160189,2019349.4743473453,1051436.6069131605,435577.76931299566,90355.01741300902,262740.95109059,103009.37569601834,2887586.08,868864.3633810821,3059134.6355651976,515342.92709189956,112606.78310529217,43881.56854266456,11873.300241390556,0,13611.228834637752,103009.37569601834,0,0
23-24,Baker SD 5J-Brooklyn Primary School,1894,Baker SD 5J,2,Brooklyn Primary School,Regular,Elementary,Not Virtual,Public,257.66,5668683.371535381,22000.634058586435,1661.3912820778012,20339.242776508632,3411126.5975925336,1193471.8387740408,666481.3676835804,101395.96024527273,296207.6072399539,113768.58102222583,4595298.59,959616.2005131555,4479720.233951261,371376.0157844561,428074.0777401663,247598.10556826502,13113.452162841022,0,15032.9053061662,113768.58102222583,0,0
23-24,Baker SD 5J-Haines Elementary School,1894,Baker SD 5J,4,Haines Elementary School,Regular,Elementary,Not Virtual,Public,144.18,2348037.1554504824,16285.456758569027,512.3332639803551,15773.123494588672,1311215.4565919875,424768.4342965195,393832.3537763666,55841.34612886526,162379.5646567436,63662.0119994742,1747398.26,536976.8834510082,1947376.1716280868,118302.58002329768,73868.21000068761,129078.19414124214,7337.955184500577,0,8412.032473193522,63662.0119994742,0,0
23-24,Baker SD 5J-Keating Elementary School,1894,Baker SD 5J,5,Keating Elementary School,Regular,Elementary,Not Virtual,Public,23.21,420328.76779723744,18109.813347575935,399.479633599833,17710.333713976102,296326.7171230408,26700.1689348191,62172.8254255061,8989.302563815803,26139.753750055617,10248.268126701318,323638.32,86442.17967053613,363136.8101552774,13433.664847695514,9271.922295852124,21702.679889154042,1181.2591193803466,0,1354.1633631767347,10248.268126701318,0,0
23-24,Baker SD 5J-South Baker Intermediate School,1894,Baker SD 5J,7,South Baker Intermediate School,Regular,Elementary,Not Virtual,Public,300.701359223301,4696644.120794439,15618.96538454523,1148.946569111268,14470.018815433963,2645765.270174904,1006073.2933370123,589684.7049855381,116462.53767380079,338658.3146231841,132773.29407082804,3443953.51,1119917.316723611,3633460.9154056413,388143.716252364,345489.7950067066,163928.27482364583,15304.016492571729,0,17544.108742681634,132773.29407082804,0,0
23-24,Baker SD 5J-Baker High School,1894,Baker SD 5J,8,Baker High School,Regular,High School,Supplemental Virtual,Public,464.3910691823899,11176792.080300868,24067.629250447913,460.1661013112689,23607.463149136645,6260590.995877339,2937158.3914709506,1210020.1275296095,232339.33294331838,536683.2324796516,205049.72824759298,9242187.15,1729555.2020532754,5853330.2772753555,1980091.5480234376,213697.02778943212,279477.59722856834,23634.90673978835,0,2621510.994996694,205049.72824759298,0,0
23-24,Baker SD 5J-Eagle Cap Innovative Jr/Sr High School,1894,Baker SD 5J,3493,Eagle Cap Innovative Jr/Sr High School,Alternative,High School,Focus Virtual,Public,70.35,1041216.7085625012,14800.52179904053,1634.0573507872696,13166.46444825326,504207.60168918234,353845.1112953263,69414.73426042024,27246.7658493943,86502.49546817805,31062.717049264873,748145.92,262008.07151323638,744702.7171531135,129577.83150949501,114955.9346278844,13232.589151313528,3580.421329099844,0,4104.497742330172,31062.717049264873,0,0
23-24,Baker SD 5J-Baker Web Academy,1894,Baker SD 5J,4728,Baker Web Academy,Charter,Combined,Focus Virtual,Public,2808.6103523043175,11700378.830343012,4165.896070540174,301.73297267781663,3864.1630978623575,1931115.9080995754,2747072.49361242,2771271.375213497,1087783.20726966,3163135.846147859,1240128.9079639679,0,10460249.922379043,7518090.872028006,1259610.900952824,847450.3506944716,528289.7921559201,142942.55025616213,0,163865.45629165912,1240128.9079639679,0,0
23-24,Baker SD 5J-Baker Early College,1894,Baker SD 5J,4759,Baker Early College,Charter,High School,Supplemental Virtual,Public,529.6743760167601,2206568.4017140395,4165.896070540174,301.73297267781663,3864.1630978623575,364188.15190917335,518068.9830232835,522632.6376084906,205144.47334403262,596534.1558290595,233875.27036893455,0,1972693.1313451051,1417832.8753262612,237549.36936649357,159820.22402680464,99629.89910175042,26957.46173941804,0,30903.301784377174,233875.27036893455,0,0
23-24,Baker SD 5J-Baker Early Learning Center,1894,Baker SD 5J,5509,Baker Early Learning Center,Regular,Elementary,Not Virtual,Public,77.05,320982.29223512043,4165.896070540174,301.7329726778167,3864.1630978623575,52977.25994529496,75361.80141869072,76025.66133284122,29841.695930288995,86775.87360800453,34021.071053956766,0,286961.2211811637,206247.51354864804,34555.53022468502,23248.525544825774,14492.835737152911,3921.4138366331626,0,4495.4022892187595,34021.071053956766,0,0
