Address,CaseNumber,CouncilDistrict,CrimeAgainst,CustomCrimeAgainst,CustomCrimeCategory,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseCount,OffenseType,OpenDataLat,OpenDataLon,OpenDataX,OpenDataY,ReportDate,ReportMonthYear
,26-X6131049,2,Person,Person,Assault: Aggravated,Humboldt,1/1/2026,127,Assault Offenses,1,Aggravated Assault,,,,,1/1/2026,January 2026
,26-X6131196,2,Person,Person,Assault: Aggravated,Portsmouth,1/1/2026,148,Assault Offenses,1,Aggravated Assault,,,,,1/1/2026,January 2026
,26-X6131217,4,Person,Person,Assault: Simple/Intimidation,Old Town/Chinatown,1/1/2026,145,Assault Offenses,1,Simple Assault,,,,,1/1/2026,January 2026
,26-X6131239,2,Person,Person,Assault: Simple/Intimidation,Portsmouth,1/1/2026,833,Assault Offenses,1,Simple Assault,,,,,1/1/2026,January 2026
,26-X6131395,4,Person,Person,Assault: Simple/Intimidation,Northwest,1/1/2026,17,Assault Offenses,1,Simple Assault,,,,,1/1/2026,January 2026
,26-X6131401,2,Person,Person,Assault: Aggravated,Cully,1/2/2026,129,Assault Offenses,1,Aggravated Assault,,,,,1/2/2026,January 2026
,26-X6131401,2,Person,Person,Assault: Simple/Intimidation,Cully,1/2/2026,129,Assault Offenses,1,Simple Assault,,,,,1/2/2026,January 2026
,26-X6131403,4,Person,Person,Assault: Simple/Intimidation,Downtown,1/1/2026,329,Assault Offenses,1,Intimidation,,,,,1/1/2026,January 2026
,26-X6131427,1,Person,Person,Assault: Simple/Intimidation,Glenfair,1/1/2026,345,Assault Offenses,1,Simple Assault,,,,,1/1/2026,January 2026
,26-X6131430,3,Person,Person,Assault: Simple/Intimidation,Hosford-Abernethy,1/1/2026,514,Assault Offenses,1,Simple Assault,,,,,1/1/2026,January 2026
,26-X6131432,3,Person,Person,Assault: Simple/Intimidation,Kerns,6/18/2025,0,Assault Offenses,1,Simple Assault,,,,,1/1/2026,January 2026
,26-X6131450,2,Person,Person,Assault: Simple/Intimidation,Cathedral Park,1/1/2026,1934,Assault Offenses,1,Simple Assault,,,,,1/1/2026,January 2026
,26-X6131456,1,Person,Person,Assault: Simple/Intimidation,Glenfair,1/1/2026,2027,Assault Offenses,1,Simple Assault,,,,,1/1/2026,January 2026
,26-X6131470,1,Person,Person,Assault: Simple/Intimidation,Hazelwood,1/1/2026,2038,Assault Offenses,1,Simple Assault,,,,,1/1/2026,January 2026
,26-X6131483,3,Person,Person,Assault: Simple/Intimidation,Richmond,1/1/2026,2142,Assault Offenses,1,Simple Assault,,,,,1/1/2026,January 2026
,26-X6131549,1,Person,Person,Assault: Simple/Intimidation,Powellhurst-Gilbert,1/2/2026,330,Assault Offenses,1,Simple Assault,,,,,1/2/2026,January 2026
